date,CO,NO2,O3,SO2
2024-04-11,150.16676,4.1158423,107.18518,3.3295054
2024-04-12,159.84505,10.380796,83.377365,5.3019266
2024-04-13,175.98787,16.481579,75.89495,10.797964
2024-04-14,165.84265,12.983648,76.55331,6.904161
2024-04-15,163.15756,12.802771,79.82773,6.718524
2024-04-16,212.03235,24.748428,46.710667,16.833961
2024-04-17,181.50652,18.94881,65.21666,9.723129
2024-04-18,150.89545,6.5136414,93.39576,3.8895547
2024-04-19,151.55302,7.2659144,80.272415,4.1448073
2024-04-20,157.75835,7.28122,81.22384,5.1659565
2024-04-21,166.20047,6.867936,84.40478,3.7898247
2024-04-22,184.7301,15.391627,67.81398,10.128691
2024-04-23,171.41368,9.432447,68.011475,5.070294
2024-04-24,161.85818,7.3184023,88.80517,4.447289
2024-04-25,170.25212,10.9118805,72.39854,5.8865204
2024-04-26,179.03484,8.219872,77.595245,5.366497
2024-04-27,184.92009,13.0851345,93.2174,7.7891116
2024-04-28,168.22926,5.907137,105.17637,4.761919
2024-04-29,161.64114,4.8865337,107.21394,3.7272017
2024-04-30,162.02197,6.1381903,101.3497,5.0729136
2024-05-01,168.6235,6.6909685,89.53327,4.30018
2024-05-02,158.30193,6.035651,94.06298,3.1416583
2024-05-03,155.37784,9.864433,94.120415,5.533905
2024-05-04,179.14987,18.338577,84.842804,10.571506
2024-05-05,160.42015,10.331966,84.30949,5.940173
2024-05-06,155.79102,9.558899,98.31702,5.273864
2024-05-07,152.70084,8.825652,100.5753,5.418459
2024-05-08,142.43379,4.751542,103.49359,3.1789043
2024-05-09,151.75188,9.678739,100.335915,5.8180537
2024-05-10,165.17459,10.28449,89.35843,6.925705
2024-05-11,139.8297,5.181827,100.76813,2.9042792
2024-05-12,139.82497,5.3933825,109.5476,3.4387608
2024-05-13,155.89784,9.6855,98.30993,6.55738
2024-05-14,143.80376,5.181112,107.59403,3.2164092
2024-05-15,143.7425,6.4159775,105.88666,5.2732115
2024-05-16,155.82031,11.503008,96.65091,8.272952
2024-05-17,143.64474,9.895386,92.36385,6.304252
2024-05-18,142.12566,6.732119,95.98428,3.5995889
2024-05-19,154.83774,10.55199,94.17471,7.267896
2024-05-20,155.93967,12.170253,107.25004,8.121456
2024-05-21,134.397,7.0612397,119.49146,3.7070181
2024-05-22,129.26576,6.2584414,122.99591,3.008901
2024-05-23,125.6586,2.7695642,111.92378,1.7142711
2024-05-24,134.9966,3.1114318,107.61713,2.3888588
2024-05-25,155.24643,6.070003,105.4003,5.6020827
2024-05-26,154.12045,5.47057,100.06046,3.8709278
2024-05-27,146.01266,4.1737623,104.1779,3.3186765
2024-05-28,151.20049,5.323345,110.69336,3.8838775
2024-05-29,161.12773,11.19732,90.126526,7.050725
2024-05-30,173.27345,13.247999,83.508865,8.562909
2024-05-31,166.51099,11.288838,79.21868,6.8109937
2024-06-01,158.46323,8.772587,89.01251,5.5857534
2024-06-02,176.34784,17.967644,63.95074,9.259988
2024-06-03,201.1138,23.32677,67.312325,13.280431
2024-06-04,172.41423,18.335167,83.4461,11.609768
2024-06-05,157.77357,15.618811,86.02781,11.364447
2024-06-06,172.62073,17.534786,87.52333,10.723677
2024-06-07,133.57524,7.6701307,105.00187,5.459555
2024-06-08,158.43288,17.04599,87.522385,9.802392
2024-06-09,151.96378,12.675108,86.06917,8.189342
2024-06-10,144.18678,11.975806,85.87855,7.4032764
2024-06-11,157.699,16.510803,77.52674,10.123832
2024-06-12,173.4889,18.702442,74.972145,11.822128
2024-06-13,142.385,13.600346,91.48839,8.299923
2024-06-14,140.4702,13.874649,93.43098,7.7941303
2024-06-15,137.12366,11.001953,92.41574,7.17674
2024-06-16,134.61089,7.597447,96.15845,4.374476
2024-06-17,146.14526,11.460335,77.07025,6.172191
2024-06-18,146.3308,13.138832,76.74334,7.008163
2024-06-19,123.42528,6.1253657,94.40769,4.499438
2024-06-20,111.75299,4.59026,95.424225,3.347723
2024-06-21,121.6293,7.3278604,97.345955,4.851622
2024-06-22,129.00124,14.947563,77.6552,8.16766
2024-06-23,156.04332,18.608955,69.77908,9.274242
2024-06-24,129.15129,8.336866,82.8116,5.6295033
2024-06-25,134.91708,12.622583,92.38966,7.40244
2024-06-26,125.486176,10.183588,98.11207,5.562235
2024-06-27,142.53607,13.891156,102.1749,8.326685
2024-06-28,144.79037,8.567347,102.37846,6.9096494
2024-06-29,135.59952,6.797791,83.26928,4.7986875
2024-06-30,126.5333,9.2656765,87.53573,6.7648773
2024-07-01,142.25246,7.1211348,83.31403,4.9134035
2024-07-02,133.05074,11.695306,79.86924,7.231643
2024-07-03,154.17017,17.856369,61.54213,10.671622
2024-07-04,135.97165,15.01074,64.11558,8.823631
2024-07-05,137.60196,10.211968,72.056564,6.4274654
2024-07-06,114.45007,6.280798,87.78883,5.1867146
2024-07-07,131.80531,5.307738,81.95178,4.128563
2024-07-08,132.57497,9.90186,78.38545,7.139288
2024-07-09,116.43702,6.1243887,92.89238,5.898908
2024-07-10,110.971115,6.353828,105.13614,5.185414
2024-07-11,118.767204,4.593419,92.746086,3.1800904
2024-07-12,143.94304,8.392118,78.61253,5.021616
2024-07-13,143.75568,12.363733,83.55907,7.1258144
2024-07-14,147.2603,11.853304,72.59175,6.6030545
2024-07-15,133.26318,10.749487,80.24486,7.1495657
2024-07-16,124.06646,9.052641,104.02207,5.052791
2024-07-17,140.682,7.21177,87.5874,4.4509716
2024-07-18,151.69829,10.732414,84.03912,7.4674954
2024-07-19,143.86426,11.819683,75.401276,7.9142647
2024-07-20,168.19266,22.100016,71.91458,11.299674
2024-07-21,153.40724,12.569824,62.877907,6.430525
2024-07-22,147.3726,8.0663,59.104885,4.2248654
2024-07-23,150.08397,9.626981,64.1148,4.681406
2024-07-24,148.29692,12.109791,71.563126,5.328876
2024-07-25,165.8167,14.26278,70.045975,6.741838
2024-07-26,175.09595,15.558189,68.37018,8.077845
2024-07-27,184.87627,15.520388,92.73631,8.173697
2024-07-28,163.71913,15.295965,78.39979,8.068718
2024-07-29,155.62943,10.161524,73.28043,5.5137515
2024-07-30,153.05951,13.065847,55.054955,6.9249945
2024-07-31,171.80676,19.579077,51.828903,9.61956
2024-08-01,161.96808,15.788782,51.3496,8.434489
2024-08-02,187.20262,22.49538,47.312332,11.852118
2024-08-03,242.37622,26.719906,39.749077,15.604772
2024-08-04,187.32208,17.787188,50.705475,9.4973955
2024-08-05,175.62378,16.08151,47.877357,7.632691
2024-08-06,158.3585,12.872109,46.883667,5.76712
2024-08-07,153.56593,12.449669,46.394623,5.7482843
2024-08-08,162.1084,11.426243,57.681557,5.100931
2024-08-09,162.15164,10.033759,63.482906,4.1160455
2024-08-10,170.71248,8.943847,68.97779,4.561495
2024-08-11,175.1004,9.964051,77.17382,5.990515
2024-08-12,166.72287,16.730286,64.83105,8.864604
2024-08-13,195.60315,19.155489,64.18619,9.057579
2024-08-14,174.38109,13.812435,73.96399,7.112697
2024-08-15,175.03423,13.110275,85.27559,6.6681275
2024-08-16,180.74992,13.808738,73.06401,6.8312893
2024-08-17,169.53682,13.747763,68.84319,7.5485263
2024-08-18,170.02359,13.385334,78.46438,7.641025
2024-08-19,179.61673,16.399055,65.51491,8.0519285
2024-08-20,207.71472,11.159558,87.73866,5.2505965
2024-08-21,199.90372,8.405049,80.21793,3.4966936
2024-08-22,202.32867,15.258313,62.800236,6.001551
2024-08-23,206.24602,11.33675,69.059555,5.407611
2024-08-24,197.49979,5.8341618,79.871086,3.676898
2024-08-25,188.33243,7.3701096,81.68679,5.041614
2024-08-26,193.94772,5.9886813,90.58953,4.7089148
2024-08-27,210.31561,6.4969897,87.19445,4.807139
2024-08-28,275.44717,5.866323,97.71728,3.9860284
2024-08-29,280.05673,5.8388267,103.47862,3.1709192
2024-08-30,243.19899,5.791599,92.887634,2.9541023
2024-08-31,204.17467,6.8219094,85.77715,4.4036036
2024-09-01,231.91924,5.9409323,84.45228,3.77283
2024-09-02,218.7328,6.235665,72.19194,2.9373777
2024-09-03,201.82965,5.4905257,86.90809,2.8758938
2024-09-04,209.25359,4.4677553,100.21915,2.3361735
2024-09-05,198.99925,3.682733,88.50747,1.8363094
2024-09-06,202.40346,3.152264,106.81499,2.3554678
2024-09-07,198.60522,3.9891832,100.09434,2.4610858
2024-09-08,207.16031,5.3956833,90.70177,3.5599265
2024-09-09,192.42577,7.1899304,88.87764,3.9233215
2024-09-10,189.89328,8.997989,80.15208,5.0179615
2024-09-11,182.94022,9.8461075,63.58233,5.2319984
2024-09-12,195.41037,13.041504,55.906433,5.97798
2024-09-13,185.22595,11.27743,62.323147,5.4200683
2024-09-14,179.52383,8.150178,69.68871,4.674091
2024-09-15,185.2564,7.0081077,70.01504,4.677886
2024-09-16,193.96745,8.206567,66.896614,3.9972942
2024-09-17,176.71983,4.7831182,79.02541,3.9424474
2024-09-18,189.33807,10.106956,68.79907,4.500235
2024-09-19,163.86292,8.263449,67.74244,4.385252
2024-09-20,173.43575,10.39793,60.051037,5.9754267
2024-09-21,161.16714,8.630716,81.90692,4.7992573
2024-09-22,175.70395,7.3264227,83.02469,4.0858808
2024-09-23,183.9884,10.645767,76.02347,5.100358
2024-09-24,180.01694,10.647702,64.52667,5.468895
2024-09-25,179.2257,9.166496,71.95017,5.3548164
2024-09-26,173.50558,8.50369,75.663734,4.6683006
2024-09-27,159.5331,6.3075314,76.05091,3.6774201
2024-09-28,161.12354,7.257603,78.892815,4.3550673
2024-09-29,169.47273,7.360671,78.95633,4.857853
2024-09-30,171.43327,5.9691563,85.62588,4.08051
2024-10-01,172.17393,5.3004236,83.8056,2.3471165
2024-10-02,219.25848,17.621178,42.655567,7.380906
2024-10-03,236.49564,22.328888,32.948307,9.639181
2024-10-04,205.61789,15.303405,47.766243,6.295977
2024-10-05,179.55034,18.513641,57.06372,8.678045
2024-10-06,183.51039,16.890556,56.18537,8.157911
2024-10-07,191.07672,21.68409,49.328262,8.935551
2024-10-08,165.31943,9.357208,68.76279,4.1822286
2024-10-09,162.32678,7.788628,69.89964,3.535254
2024-10-10,173.46461,8.832441,53.355995,3.7302742
2024-10-11,168.23535,11.155805,56.63916,5.3602657
2024-10-12,167.24365,10.835797,77.79356,6.200367
2024-10-13,182.98796,13.943606,54.34729,5.4787827
2024-10-14,205.2128,16.252699,22.941635,8.409638
2024-10-15,203.37022,18.67879,43.1144,9.340403
2024-10-16,170.09862,14.257225,71.175095,5.7134385
2024-10-17,177.48544,8.631648,81.4243,5.498137
2024-10-18,196.82672,7.8722143,73.37029,4.664099
2024-10-19,191.46922,8.573864,70.61456,4.7172227
2024-10-20,184.65773,8.70516,72.879196,4.4434757
2024-10-21,183.70229,8.924425,63.815002,4.3946037
2024-10-22,156.61577,6.505232,76.486115,4.2327423
2024-10-23,154.38992,8.767177,82.94232,4.901262
2024-10-24,157.1166,10.573434,79.53706,4.9581814
2024-10-25,171.44508,13.606246,57.636833,7.286307
2024-10-26,182.0738,9.561716,65.4045,5.297014
2024-10-27,204.21054,14.969948,43.491577,5.913597
2024-10-28,190.89804,10.244745,58.7685,5.2264476
2024-10-29,159.99394,11.936173,76.60605,6.25762
2024-10-30,158.73375,7.4286547,76.22473,4.047586
2024-10-31,168.02032,16.301699,74.711136,7.618475
2024-11-01,189.47443,23.61947,51.33912,9.490429
2024-11-02,179.84216,22.477243,61.546227,7.823969
2024-11-03,186.38324,21.517527,60.056915,8.332188
2024-11-04,163.0635,11.655562,73.345665,4.8524075
2024-11-05,197.51569,26.007679,52.057472,9.288449
2024-11-06,176.41762,26.037584,29.194374,8.828768
2024-11-07,160.25258,17.662222,35.82907,6.596205
2024-11-08,158.80327,11.528603,48.04554,5.4878283
2024-11-09,160.19043,8.922531,64.90396,4.2247195
2024-11-10,163.78812,11.102673,68.856674,4.227332
2024-11-11,162.88228,7.536026,69.42128,2.7990716
2024-11-12,211.83682,15.688617,35.864674,7.0865774
2024-11-13,178.96024,13.766191,48.368645,7.232152
2024-11-14,186.4745,15.417113,50.9831,7.1005483
2024-11-15,169.88058,21.335981,58.64548,9.01122
2024-11-16,144.98131,7.4965763,72.09761,4.677068
2024-11-17,149.12146,7.1343784,81.89287,4.1893506
2024-11-18,158.98792,10.284,68.48116,5.4254646
2024-11-19,192.59041,25.614357,45.48174,10.310075
2024-11-20,164.91014,10.133812,65.335625,4.737402
2024-11-21,174.42676,11.3899555,63.40663,5.458617
2024-11-22,169.64151,7.772852,67.78622,4.2570105
2024-11-23,182.40851,12.874802,64.98328,6.042613
2024-11-24,171.93277,10.198357,73.807465,6.1364036
2024-11-25,165.9064,6.2044687,69.48747,3.1943474
2024-11-26,178.64171,9.942536,53.552742,5.041638
2024-11-27,226.56432,24.869562,27.56102,9.530223
2024-11-28,215.1875,22.95347,40.864326,8.746347
2024-11-29,191.71625,16.645779,53.143417,7.2221713
2024-11-30,165.19983,8.688032,69.49388,5.1755195
2024-12-01,167.5368,6.0350685,69.92094,3.9404411
2024-12-02,197.59302,7.326669,60.06549,4.2014036
2024-12-03,208.2718,11.490049,47.271957,5.2240415
2024-12-04,161.27441,9.789321,74.44695,3.5582464
2024-12-05,160.13484,5.818197,74.22681,2.2474165
2024-12-06,182.41273,9.858539,44.50041,3.7447941
2024-12-07,185.35034,11.328498,34.019207,4.209309
2024-12-08,192.14128,14.8155575,25.968086,4.815517
2024-12-09,190.12564,16.991352,39.88728,3.9409676
2024-12-10,180.91795,11.644106,55.481483,5.878936
2024-12-11,157.40578,9.778492,77.281296,4.6784205
