date,pm25,pm10,so2
2024-01-01,4.365690231323242,5.2339311564466495,2669.25390625
2024-01-02,18.733549766476127,24.797638078078624,2207.378662109375
2024-01-03,4.6279463391408,6.397711879204099,2355.8466796875
2024-01-04,3.0052359695739317,4.224676960824175,2140.235595703125
2024-01-05,2.843567286951067,3.9460326961783356,3045.7995757570716
2024-01-06,4.571923090391148,9.837263842857768,2532.408447265625
2024-01-07,14.14311204511777,18.835016523537238,4283.7367997573165
2024-01-08,5.532104199010764,7.892129826777616,2743.909896947112
2024-01-09,6.101282095569412,8.334290056307266,2939.7236959333636
2024-01-10,6.745605285040597,9.843880132456583,3267.18020890472
2024-01-11,4.639190595115333,6.880523578910156,2304.0898952659313
2024-01-12,12.941505181117936,18.351721977329774,4463.268397010641
2024-01-13,11.752244982740754,17.020828418944703,6778.647539164698
2024-01-14,6.690997647261716,9.754150677154806,2759.569517040227
2024-01-15,10.255541484740185,13.855523628892671,2722.73193359375
2024-01-16,7.49904170234044,9.706101639353017,3747.8249539884346
2024-01-17,8.745314394102461,12.32100059171528,4639.574146061643
2024-01-18,2.4673040575883975,5.916924032137133,2686.964791152494
2024-01-19,3.7277310985196017,5.411125303986337,3132.076294748971
2024-01-20,19.837887328943125,26.66396730880382,5358.942054854078
2024-01-21,10.638398364300496,14.764589514157823,3953.1974234052823
2024-01-22,6.4851056630108594,9.101841998565538,2191.740016778185
2024-01-23,6.68218697166399,10.531110059906254,2015.7773871537797
2024-01-24,6.656839511782889,10.605424447588037,2910.066621219794
2024-01-25,4.911710005846578,6.772421162891516,2454.439856612512
2024-01-26,4.053422451019287,5.76727819442749,4662.113493505113
2024-01-27,17.413438124737283,26.671834372217184,5079.888272749708
2024-01-28,7.32452267935223,10.421864854272469,3027.5367996888617
2024-01-29,6.220750637118414,9.543387902495136,2315.2334986913775
2024-01-30,17.994394780261352,25.440101231584137,4759.831887615595
2024-01-31,25.276639887045736,21.668460740906905,3561.8894008037314
2024-02-01,5.448506524509298,8.894219229116876,2012.7843119934714
2024-02-02,5.736097988733643,9.919239346417854,2298.841736695769
2024-02-03,5.986874930020804,9.264743457676147,2305.243530253225
2024-02-04,6.759816556409471,10.999707000915283,3001.192471390114
2024-02-05,8.043317139230107,11.730605494527289,4490.195085027777
2024-02-06,9.068726443307183,12.428077138736088,4175.49888442133
2024-02-07,7.596313835237431,10.437799156756805,3418.6347181101737
2024-02-08,15.676447067887,21.158949935696608,2769.707417282772
2024-02-09,15.134220790089643,20.75101158651494,4707.125041312226
2024-02-10,23.373760015980288,32.058220986757995,5333.829083202185
2024-02-11,12.624161053336891,16.180854803728057,1810.2703857421875
2024-02-12,11.18571618447876,14.194049811539116,2012.571044921875
2024-02-13,5.48393715662399,7.589170255545577,1371.5869140625
2024-02-14,7.698640037219129,6.667611902545188,3531.6732295188694
2024-02-15,11.067751929240215,14.752603141376833,2287.402099609375
2024-02-16,10.107358030883466,13.60268763128817,1407.0391845703125
2024-02-17,6.073489100395735,8.306623706700186,1577.9181829256956
2024-02-18,2.3788621377579786,3.6958874628736735,1941.8929123634862
2024-02-19,13.1496042451012,18.563107013204903,7174.514207761539
2024-02-20,14.223332179742371,23.012077801495124,3713.6974753408554
2024-02-21,14.561829003809889,22.385852059199518,1715.4206184593336
2024-02-22,13.807079268284424,17.71317472754585,1049.645042475679
2024-02-23,9.128901032032319,12.038667572662465,941.4612426757812
2024-02-24,6.590666821100787,9.191111854745788,840.0505761051571
2024-02-25,6.757471728024708,9.710515405030216,2013.8084917403614
2024-02-26,10.076398447253041,13.775321145368752,1482.1729736328125
2024-02-27,15.87216409308234,21.841959451490588,4190.411718586683
